item_name,description,auth_choosen_name,preview,preview_status,video_360,video_360_status,zpr_file_status,texture_pack_link_status,Submission accepted
Silky Camo Bomber,"A bomber jacket with a combination of different textures: laser printed denim and shiny satin with a camo-inspired digital print. The jacket has an iridescent rib collar in the front that follows along the sleeves as a flounce structure.
I am interested in merging seemingly opposing elements into a refined whole and enjoy exploring creative pattern transformations. When creating this design I was exploring the functionality and history of the bomber jacket (also named as flight jacket, therefor the ribbed flounces suggesting the idea of wings) as a functional clothing piece in aviation -  given the current global context of war. While the colors and textures are completely opposing to the idea of army clothing: bright colors, iridescent, shiny textures.",Renata Rakossy,"https://dl.airtable.com/.attachments/9f6ebba80067bd5e617d122628500142/78fb5c68/RRY_bombermask.png?ts=1658991121&userId=usrJS3FPcjRWm5Vxo&cs=e36392ec0c244bf6, ",All good,"https://dl.airtable.com/.attachments/a9576c51828a8b79acabad2ceb105077/61cdc3a7/RRY_bomberjckt.mp4?ts=1658991121&userId=usrJS3FPcjRWm5Vxo&cs=c2eac111d5e0127b, ",All good,All good,All good,1
CYBER TUXEDO PANTS,Future tuxedo,syxelll,"https://dl.airtable.com/.attachments/951fcf3553da0bf6089539e443700840/4cbf3b00/shtani.png?ts=1658991121&userId=usrJS3FPcjRWm5Vxo&cs=cd3b8409346e0d7b, ",All good,"https://dl.airtable.com/.attachments/bbcad610395500b08c4975a7393a9295/9388e37f/shtanihevc.mp4?ts=1658991121&userId=usrJS3FPcjRWm5Vxo&cs=965e77818818d583, ",All good,All good,All good,1
Mafia Girlboss,"A black leather dress with a boning top, and a chiffon detail on the shoulders. Gives the vibes of a girl go-getter, a girl who knows what she wants and she's not afraid to take it. A mafia girl-boss. ",Mariam Khaled,"https://dl.airtable.com/.attachments/51e58f6aa9214e7a90aa4d9d885bc7be/a50105f6/MAfia_2.png?ts=1658991121&userId=usrJS3FPcjRWm5Vxo&cs=c0c3918b7b83044d, ",All good,"https://dl.airtable.com/.attachments/0bf8ce2bc619866856bddd6890858f29/11f40493/360resub.mp4?ts=1658991121&userId=usrJS3FPcjRWm5Vxo&cs=bbf746f5af1cde12, ",All good,All good,All good,1
Iridescence dress ,"Particles, like pollen, are flying around the body. The iridescence effect gives freshness to the classic silhouette of this dress.",Jelizaveta Hagleitner,"https://dl.airtable.com/.attachments/c662dc02225a85164c73e4dc1c87092d/0f9c8f59/shirt_dress.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=76e5234c544d818f, ",All good,"https://dl.airtable.com/.attachments/75e287ee96fd521378de80b384c56471/127b5de1/shirtdress_hevc_compressed.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=715254f6899228c9, ",All good,All good,All good,1
Glowing Aqua-wiggles,"Like a lively, bubbly, and mysterious  aquatic creature roaming in the deep ocean, the indigo glow is flowing all over the veins with the breath.",shiu_studio,"https://dl.airtable.com/.attachments/95892734be15ae6f49b09f9b4b52adc4/e207d57b/_Glowing-Aqua--Wiggle--shiu_studio.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=4b6ae402b7a23477, ",All good,"https://dl.airtable.com/.attachments/47de9b515684a9e23f49f6784120cf82/8335c300/GlowingAqua-Wiggle--shiu_studio-turntable.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=07e86deb49eaa3c3, ",All good,All good,All good,1
"Skirt ""Obsidian""","The source of inspiration when designing the skirt was the structural geometry of the natural form - volcanic glass. The draperies of the skirt repeat the outlines of the obsidian shape, and the matte and glossy elements imitate the textures of natural stone.",regul_art_,"https://dl.airtable.com/.attachments/2d571f9c8dbe708657badfd701b406da/80b56bf5/regul_art_3.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=72233ff01820f731, ",All good,"https://dl.airtable.com/.attachments/d9150a0b7d73132a8a8cce63e94ccf94/70c8b376/regul_art_animation3.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=7c068195542c93ca, ",All good,All good,All good,1
The Matrix dress,"The Matrix dress is about the technologies. Unusual materials and elements make it possible to delve into technology and ""feel"" the texture of clothing, as well as to get closer to the future. This dress is available in two colors.",Nansy Malkova ( @meta.cloverse),"https://dl.airtable.com/.attachments/b610b82976e629514805731bae51d27e/f88fb924/Transition.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=ae8c0035271421c4, ",All good,"https://dl.airtable.com/.attachments/ef3b3954bffb0a47995d567f9ae2ea0d/0f417c58/MatrixDress_2.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=6932c9d7230fe908, ",All good,All good,All good,1
Mars,"The down jacket was created as a part of collection ""Planet Parade"". Mars is closely tied to the war in mass culture. This is why the look was inspired by Japanese traditional armor, Evangelion mechas and many other militaristic symbols.",ITSALIVE,"https://dl.airtable.com/.attachments/17de22a859614302c3816c994cb1c830/853df9ee/Itsalive_Mars.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=d41c8860833ab88c, ",All good,"https://dl.airtable.com/.attachments/ac87acb0ccd55ecbabd833f4ee8a0a70/85ea34c7/Itsalive_Mars.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=50c1e5261451338f, ",All good,All good,All good,1
trendy wide leg jeans with suspenders,I like to learn new fashion trends and try to use everything new and interesting in my work. The combination of a short top and tight short shorts with rough wide irregularly shaped jeans seemed very interesting to me.,Dina Kravchenko,"https://dl.airtable.com/.attachments/7edd83806afa53d1cd7832b31a36499c/cba2f1c6/trendyjeans22.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=04692335fb52b461, ",All good,"https://dl.airtable.com/.attachments/a9a38d45192b70a8338c06dbf52ba8b6/9abb57e4/trendyjeans1dina.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=3b2bdf73273b7196, ",All good,All good,All good,1
red-hot lava,The main idea is a creation of second skin for the soul - really passionate and full of life. Digital fashion let us fantasize about different shapes of our body and emotions that are raging inside. My work is an expression of inner fire.,zaguz_in_digital,"https://dl.airtable.com/.attachments/68513941dd1849cd0b7c742d583b7d40/f6face4c/zerodone.png?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=0f40f8bd45f92f4f, ",All good,"https://dl.airtable.com/.attachments/852454ef18e105e06160f1a304099683/2f27ffbd/zerodone0000-0150.mp4?ts=1658991124&userId=usrJS3FPcjRWm5Vxo&cs=acab372b438cf3c1, ",All good,All good,All good,1
